Latitude,Longitude,Category
40.84284937,-73.86956361,graffiti
40.84185994,-73.87081243,graffiti
40.64619653,-74.02268071,graffiti
40.67630987,-73.91050162,graffiti
40.67631266,-73.9105593,graffiti
40.6858338,-73.8650247,graffiti
40.71914108,-74.00150793,graffiti
40.73878235,-73.80838578,graffiti
40.73878235,-73.80838578,graffiti
40.7388482,-73.81002749,graffiti
40.73882221,-73.80924811,graffiti
40.7388166,-73.80917956,graffiti
40.73787721,-73.97688033,graffiti
40.71854187,-73.76508944,graffiti
40.7111038,-73.7648552,graffiti
40.7111038,-73.7648552,graffiti
40.73547264,-73.73760962,graffiti
40.6764231,-73.94144471,graffiti
40.67626789,-73.94988815,graffiti
40.6713743,-73.93921771,graffiti
40.6777555,-73.94974643,graffiti
40.6775904,-73.94882001,graffiti
40.69779921,-73.95305636,graffiti
40.67790155,-73.93954344,graffiti
40.67833354,-73.94727998,graffiti
40.70809068,-74.00028494,graffiti
40.75104377,-73.87979865,graffiti
40.68477669,-73.85567744,graffiti
40.70710216,-73.93768829,graffiti
40.74269672,-73.92070464,graffiti
40.68100055,-73.86296136,graffiti
40.82744823,-73.88178167,graffiti
40.60742745,-74.0920315,graffiti
40.72712561,-73.89335707,graffiti
40.68207943,-73.8702206,graffiti
40.70169586,-73.92533011,graffiti
40.71402296,-73.92589345,graffiti
40.73744003,-73.99109067,graffiti
40.77263775,-73.92687524,graffiti
40.66371104,-73.9776017,graffiti
40.71212189,-73.79376342,graffiti
40.67985804,-73.85135082,graffiti
40.71893504,-73.993438,graffiti
40.7304628,-73.9902437,graffiti
40.69846552,-73.80091383,graffiti
40.70692041,-73.79064517,graffiti
40.70726668,-73.78937086,graffiti
40.7079415,-73.78470862,graffiti
40.70794191,-73.78492864,graffiti
40.70794144,-73.78467977,graffiti
40.70882262,-73.78473463,graffiti
40.7080228,-73.78269211,graffiti
40.70935722,-73.78004745,graffiti
40.70885656,-73.77803643,graffiti
40.70748202,-73.78855503,graffiti
40.70759625,-73.78798839,graffiti
40.70774068,-73.78742165,graffiti
40.70315578,-73.7738645,graffiti
40.70463418,-73.77473592,graffiti
40.70547742,-73.7764535,graffiti
40.70547742,-73.7764535,graffiti
40.70553477,-73.77914395,graffiti
40.70542546,-73.78227858,graffiti
40.70460673,-73.7847771,graffiti
40.70460398,-73.78477711,graffiti
40.70343439,-73.79206992,graffiti
40.71040499,-73.79145302,graffiti
40.69063439,-73.94468119,graffiti
40.67346256,-73.99512602,graffiti
40.71527646,-73.99959238,graffiti
40.71591598,-73.99832981,graffiti
40.71751616,-73.99733774,graffiti
40.71745299,-73.99594889,graffiti
40.71722245,-73.99654773,graffiti
40.71538898,-73.99783924,graffiti
40.79870121,-73.82098465,graffiti
40.68097222,-73.92868112,graffiti
40.68092006,-73.92867036,graffiti
40.68086791,-73.9286596,graffiti
40.68076634,-73.92863808,graffiti
40.78471016,-73.9740294,graffiti
40.83601285,-73.84763023,graffiti
40.68871062,-73.96695607,graffiti
40.68871062,-73.96695607,graffiti
40.72252406,-73.76086163,graffiti
40.840006,-73.8372506,graffiti
40.8149326,-73.86226651,graffiti
40.82496244,-73.86989496,graffiti
40.7801556,-73.94696827,graffiti
40.78035041,-73.9468273,graffiti
40.78337277,-73.94771318,graffiti
40.78324062,-73.94682499,graffiti
40.78044372,-73.94678389,graffiti
40.83447483,-73.82929398,graffiti
40.5815142,-73.96208063,graffiti
40.58158271,-73.96175659,graffiti
40.58157175,-73.96180699,graffiti
40.63197616,-73.96741649,graffiti
40.6289949,-73.96598411,graffiti
40.63124578,-73.96650536,graffiti
40.62587389,-73.96536968,graffiti
40.6253002,-73.96528352,graffiti
40.62458377,-73.9651506,graffiti
40.62116082,-73.96450039,graffiti
40.6196658,-73.9642859,graffiti
40.62511802,-73.96203424,graffiti
40.61394385,-73.95415625,graffiti
40.67993081,-73.86126904,graffiti
40.67991988,-73.86131232,graffiti
40.67946514,-73.87153803,graffiti
40.74686547,-73.94301406,graffiti
40.63195055,-74.00247511,graffiti
40.68595733,-73.86504248,graffiti
40.68594918,-73.86511461,graffiti
40.73444559,-73.99235759,graffiti
40.73383064,-73.99061125,graffiti
40.73670799,-73.95770188,graffiti
40.76211747,-73.7299204,graffiti
40.78169818,-73.84206015,graffiti
